timestamp,open,high,low,close,volume
2025-05-05 11:45:00,93892.3,94074.6,93892.3,93986.0,1737.055
2025-05-05 12:00:00,93986.1,94164.3,93844.0,94143.4,2104.207
2025-05-05 12:15:00,94143.3,94289.9,94101.2,94260.1,1891.845
2025-05-05 12:30:00,94260.1,94296.1,94175.3,94275.6,1132.472
2025-05-05 12:45:00,94275.6,94292.6,94199.8,94279.3,745.537
2025-05-05 13:00:00,94279.2,94354.6,94143.5,94159.9,1949.812
2025-05-05 13:15:00,94159.9,94317.4,94076.0,94120.8,1187.8
2025-05-05 13:30:00,94120.9,94210.0,93662.6,93837.2,4485.295
2025-05-05 13:45:00,93837.2,94192.3,93600.0,94192.2,4645.491
2025-05-05 14:00:00,94192.2,94501.0,93938.4,93974.5,5101.805
2025-05-05 14:15:00,93974.5,94159.1,93768.0,93894.6,2509.989
2025-05-05 14:30:00,93894.6,94106.7,93670.0,94044.9,2294.149
2025-05-05 14:45:00,94044.8,94194.0,93805.6,93839.8,2153.024
2025-05-05 15:00:00,93839.8,93846.1,93559.6,93684.6,3489.815
2025-05-05 15:15:00,93684.7,93926.0,93610.0,93799.4,1483.899
2025-05-05 15:30:00,93799.5,93897.8,93646.8,93684.5,830.944
2025-05-05 15:45:00,93684.5,93743.0,93560.9,93726.0,1418.05
2025-05-05 16:00:00,93726.0,94007.5,93705.3,93930.6,1716.086
2025-05-05 16:15:00,93930.6,94225.0,93921.4,94132.9,1635.916
2025-05-05 16:30:00,94132.9,94237.7,94082.8,94190.0,1293.573
2025-05-05 16:45:00,94190.0,94219.3,94046.1,94163.9,1050.287
2025-05-05 17:00:00,94163.8,94230.2,94022.2,94046.1,1034.03
2025-05-05 17:15:00,94046.2,94391.2,94038.2,94322.8,1450.939
2025-05-05 17:30:00,94322.8,94598.0,94316.4,94409.3,3248.231
2025-05-05 17:45:00,94409.4,94496.1,94369.2,94458.5,828.268
2025-05-05 18:00:00,94458.6,94650.0,94401.3,94620.4,1530.336
2025-05-05 18:15:00,94620.3,94665.9,94512.4,94549.9,1077.806
2025-05-05 18:30:00,94549.9,94871.8,94530.9,94800.0,3131.819
2025-05-05 18:45:00,94800.0,94849.5,94658.8,94675.7,1101.404
2025-05-05 19:00:00,94675.8,94797.5,94615.3,94750.0,797.17
2025-05-05 19:15:00,94750.1,94856.6,94546.9,94595.0,1242.191
2025-05-05 19:30:00,94595.1,94636.9,94425.2,94452.0,1062.878
2025-05-05 19:45:00,94452.1,94452.1,94228.2,94295.5,1817.336
2025-05-05 20:00:00,94295.2,94320.2,94126.6,94192.0,1593.008
2025-05-05 20:15:00,94191.9,94249.8,94123.5,94148.4,606.44
2025-05-05 20:30:00,94148.4,94148.4,93814.2,94011.3,2260.552
2025-05-05 20:45:00,94011.3,94213.8,93950.0,94198.4,907.977
2025-05-05 21:00:00,94198.3,94564.2,94186.5,94548.9,1549.468
2025-05-05 21:15:00,94548.9,94628.6,94482.7,94571.2,621.536
2025-05-05 21:30:00,94571.1,94571.2,94304.1,94511.7,874.453
2025-05-05 21:45:00,94511.8,94803.0,94490.2,94673.5,1775.838
2025-05-05 22:00:00,94673.5,94835.0,94668.4,94789.9,1483.641
2025-05-05 22:15:00,94790.0,94950.0,94783.4,94844.9,1807.787
2025-05-05 22:30:00,94844.9,95165.1,94844.9,95146.1,2861.967
2025-05-05 22:45:00,95146.1,95146.1,94933.5,95010.5,1581.529
2025-05-05 23:00:00,95010.5,95090.0,94956.8,94956.8,843.303
2025-05-05 23:15:00,94956.9,95084.7,94845.4,94855.2,992.864
2025-05-05 23:30:00,94855.2,94885.9,94770.7,94783.2,697.417
2025-05-05 23:45:00,94783.1,94795.1,94672.8,94696.7,912.048
2025-05-06 00:00:00,94696.7,94746.0,94600.0,94648.8,1018.841
2025-05-06 00:15:00,94648.7,94700.0,94530.0,94685.9,921.877
2025-05-06 00:30:00,94685.9,94685.9,94379.5,94419.9,1269.684
2025-05-06 00:45:00,94419.9,94561.3,94410.8,94558.5,718.84
